radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
GSM,400,1,700,71,0,49.945984,40.415955,1000,18,1,1238982147,1238982147,0
GSM,400,1,700,52,0,49.946182,40.416641,1000,10,1,1238982147,1238982147,0
GSM,400,1,700,51,0,49.933633,40.414816,9175,15,1,1239001947,1403948429,0
GSM,400,1,700,103,0,49.949588,40.42175,1000,25,1,1238982147,1238982147,0
GSM,400,1,700,181,0,49.953028,40.421677,1000,27,1,1238982149,1238982149,0
GSM,400,1,700,182,0,49.954147338867,40.420761108398,1000,1,1,1238982148,1238982148,0
GSM,400,1,700,431,0,49.954576,40.430717,1000,32,1,1238982149,1238982149,0
GSM,400,1,700,432,0,49.953049,40.429825,1000,5,1,1238982149,1238982149,0
GSM,400,1,700,361,0,49.960327,40.436554,1000,2,1,1238982155,1238982155,0
GSM,400,1,700,471,0,49.96994,40.435867,1000,4,1,1238982150,1238982150,0
GSM,400,1,700,31,0,49.973962,40.435867,1000,7,1,1238982150,1238982150,0
GSM,400,1,700,43,0,49.97509,40.434837,1000,8,1,1238982150,1238982150,0
GSM,400,1,700,883,0,49.973786,40.434769,1000,10,1,1238982150,1238982150,0
GSM,400,1,700,91,0,49.947673,40.44038,1000,7,1,1238982155,1238982155,0
GSM,400,1,700,92,0,49.923763,40.427628,1000,8,1,1238982155,1238982155,0
GSM,400,1,1000,591,0,49.908828735352,40.418014526367,1000,1,1,1238982150,1238982150,0
GSM,400,1,800,21,0,49.872574,40.39769,1000,5,1,1238982150,1238982150,0
GSM,400,1,800,112,0,49.867207,40.398788,1000,13,1,1238982151,1238982151,0
GSM,400,1,800,922,0,49.859390258789,40.40153503418,1000,1,1,1238982151,1238982151,0
GSM,400,1,800,271,0,49.855270385742,40.40153503418,1000,1,1,1238982151,1238982151,0
GSM,400,1,800,981,0,49.821556,40.327555,7627,31,1,1239001952,1405160793,0
GSM,400,1,800,441,0,49.841537475586,40.393295288086,1000,2,1,1238982152,1238982152,0
GSM,400,1,800,511,0,49.798365,40.306854,10482,55,1,1239001952,1405165709,0
GSM,400,1,800,1112,0,49.856643676758,40.39192199707,1000,1,1,1238982152,1238982152,0
GSM,400,1,800,1111,0,49.86213684082,40.394668579102,1000,1,1,1238982152,1238982152,0
GSM,400,1,800,562,0,49.870376586914,40.397415161133,1000,1,1,1238982152,1238982152,0
GSM,400,1,500,163,0,49.863412,40.380674,1000,42,1,1238982180,1238982180,0
GSM,400,1,500,1101,0,49.855270385742,40.375442504883,1000,2,1,1238982152,1238982152,0
GSM,400,1,500,1102,0,49.853897094727,40.375442504883,1000,1,1,1238982152,1238982152,0
GSM,400,1,500,231,0,49.84703,40.372238,1000,9,1,1238982176,1238982176,0
GSM,400,1,500,123,0,49.835022,40.361837,1000,43,1,1238982585,1238982585,0
GSM,400,1,500,692,0,49.83114,40.364162,1000,14,1,1238982153,1238982153,0
GSM,400,1,500,531,0,49.830551147461,40.367202758789,1000,2,1,1238982153,1238982153,0
GSM,400,1,500,663,0,49.82780456543,40.367202758789,1000,1,1,1238982153,1238982153,0
GSM,400,1,500,1151,0,49.826431274414,40.365829467773,1000,2,1,1238982153,1238982153,0
GSM,400,1,800,371,0,49.831505,40.388014,1000,311,1,1238982590,1238982590,0
GSM,400,1,800,32,0,49.835506,40.388959,1000,337,1,1238982589,1238982589,0
GSM,400,1,800,51,0,49.834506,40.388242,1000,25,1,1238982590,1238982590,0
GSM,400,1,800,292,0,49.837847,40.389261,1000,32,1,1238982588,1238982588,0
GSM,400,1,800,323,0,49.838791,40.391235,1000,2,1,1238982155,1238982155,0
GSM,400,1,800,273,0,49.853897094727,40.40153503418,1000,1,1,1238982155,1238982155,0
GSM,400,1,1000,51,0,49.90608215332,40.415267944336,1000,1,1,1238982155,1238982155,0
GSM,400,1,1000,6001,0,49.921188354492,40.424880981445,1000,1,1,1238982155,1238982155,0
GSM,400,1,700,433,0,49.945907592773,40.441360473633,1000,1,1,1238982155,1238982155,0
GSM,400,1,700,342,0,50.015945,40.438614,1000,2,1,1238982156,1238982156,0
GSM,400,1,700,153,0,50.017948,40.439758,1695,24,1,1238982156,1238982156,0
GSM,400,1,700,6021,0,50.052567,40.446854,1000,3,1,1238982156,1238982156,0
GSM,400,1,700,63,0,50.050621,40.46196,1000,8,1,1238982594,1238982594,0
GSM,400,1,700,62,0,50.043409,40.448033,2506,7,1,1238982224,1238982224,0
GSM,400,1,700,151,0,50.041488,40.441361,1239,5,1,1238982156,1238982156,0
GSM,400,1,700,6022,0,50.031051635742,40.43586730957,1000,1,1,1238982156,1238982156,0
GSM,400,1,700,953,0,50.041353,40.431062,1713,2,1,1238982223,1238982223,0
GSM,400,1,700,933,0,50.014572143555,40.442733764648,1000,1,1,1238982156,1238982156,0
GSM,400,1,700,291,0,50.006438,40.422487,1966,39,1,1238982157,1238982157,0
GSM,400,1,700,293,0,49.882346,40.395066,10544,11,1,1239001958,1407569303,0
GSM,400,1,700,292,0,50.002213,40.414124,1000,6,1,1238982158,1238982158,0
GSM,400,1,700,1012,0,49.999262,40.398229,1045,27,1,1238982158,1238982158,0
GSM,400,1,700,871,0,49.991531,40.393753,1000,18,1,1238982158,1238982158,0
GSM,400,1,700,873,0,49.98848,40.392609,1000,6,1,1238982158,1238982158,0
GSM,400,1,700,872,0,49.983536,40.391922,1000,5,1,1238982159,1238982159,0
GSM,400,1,700,221,0,49.980239868164,40.393295288086,1000,1,1,1238982159,1238982159,0
GSM,400,1,700,223,0,49.977493286133,40.393295288086,1000,1,1,1238982159,1238982159,0
GSM,400,1,700,752,0,49.976425,40.392685,1000,9,1,1238982159,1238982159,0
GSM,400,1,700,651,0,49.97612,40.390064,1000,17,1,1238982159,1238982159,0
GSM,400,1,700,652,0,49.975621,40.387428,1000,11,1,1238982159,1238982159,0
GSM,400,1,1000,691,0,49.971799,40.386931,1000,41,1,1238982160,1238982160,0
GSM,400,1,1000,1091,0,49.955635,40.394783,1000,12,1,1238982161,1238982161,0
GSM,400,1,1000,852,0,49.951400756836,40.396041870117,1000,2,1,1238982161,1238982161,0
GSM,400,1,1000,432,0,49.923661,40.396872,6267,5,1,1239001961,1448245532,0
GSM,400,1,1000,431,0,49.94133,40.397232,1000,15,1,1238982161,1238982161,0
GSM,400,1,1000,222,0,49.940758,40.400162,1000,4,1,1238982161,1238982161,0
GSM,400,1,1000,351,0,49.940414428711,40.398788452148,1000,8,1,1238982161,1238982161,0
GSM,400,1,500,1021,0,49.86351,40.381328,1000,7,1,1238982179,1238982179,0
GSM,400,1,500,1022,0,49.862595,40.381393,1000,3,1,1238982180,1238982180,0
GSM,400,1,500,411,0,49.851761,40.378189,1000,9,1,1238982161,1238982161,0
GSM,400,1,500,1221,0,49.848747,40.376816,1000,8,1,1238982181,1238982181,0
GSM,400,1,500,91,0,49.847435,40.376331,1000,17,1,1238982181,1238982181,0
GSM,400,1,500,1571,0,49.84605,40.375443,1000,7,1,1238982181,1238982181,0
GSM,400,1,500,451,0,49.844971,40.375443,1000,2,1,1238982181,1238982181,0
GSM,400,1,500,1572,0,49.843164,40.375083,1000,65,1,1238982243,1238982243,0
GSM,400,1,1210,713,0,49.653583,40.593226,3719,1246,1,1239001963,1424316888,0
GSM,400,1,1210,762,0,49.657362,40.593844,1309,311,1,1239001963,1424316888,0
GSM,400,1,1210,1361,0,49.65145,40.595945,1000,414,1,1238982513,1238982513,0
GSM,400,1,1210,712,0,49.670469,40.595235,1000,125,1,1239001966,1424618279,0
GSM,400,1,1210,711,0,49.672542,40.597108,1000,34,1,1239001966,1424618279,0
GSM,400,1,1210,1121,0,49.676116,40.596076,1000,103,1,1239001967,1424618279,0
GSM,400,1,1210,1193,0,49.683741,40.587466,1041,156,1,1238982510,1238982510,0
GSM,400,1,1210,1191,0,49.695246,40.579638,3272,171,1,1238982510,1238982510,0
GSM,400,1,1500,721,0,49.758682,40.573197,1469,33,1,1238982477,1238982477,0
GSM,400,1,1500,822,0,49.770772,40.572174,24299,173,1,1239001968,1481487028,0
GSM,400,1,1500,693,0,49.773349,40.571196,1000,173,1,1238982490,1238982490,0
GSM,400,1,1500,692,0,49.78868,40.559795,3400,869,1,1238982503,1238982503,0
GSM,400,1,1500,533,0,49.779855,40.552441,1000,238,1,1238982503,1238982503,0
GSM,400,1,1500,671,0,49.779739379883,40.552597045898,1000,14,1,1238982491,1238982491,0
GSM,400,1,800,782,0,49.835964,40.387802,1000,17,1,1238982245,1238982245,0
GSM,400,1,800,301,0,49.829327,40.387245,1000,101,1,1238982590,1238982590,0
GSM,400,1,800,53,0,49.829177856445,40.385055541992,1000,10,1,1238982173,1238982173,0
GSM,400,1,800,52,0,49.829178,40.382767,1000,3,1,1238982173,1238982173,0
GSM,400,1,800,1012,0,49.830551147461,40.37956237793,1000,2,1,1238982173,1238982173,0
GSM,400,1,500,1062,0,49.831162,40.378494,1000,9,1,1238982173,1238982173,0
GSM,400,1,500,861,0,49.831924,40.377502,1000,2,1,1238982173,1238982173,0
GSM,400,1,500,271,0,49.833481,40.375443,1000,30,1,1238982174,1238982174,0
GSM,400,1,500,741,0,49.835129,40.375443,1000,9,1,1238982174,1238982174,0
GSM,400,1,500,1683,0,49.836535,40.375443,1000,14,1,1238982174,1238982174,0
GSM,400,1,500,1681,0,49.838541,40.376441,1000,11,1,1238982175,1238982175,0
GSM,400,1,500,1402,0,49.838595,40.376816,1000,7,1,1238982174,1238982174,0
